,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
0,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,1
1,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,2
2,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,3
3,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,4
4,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,5
5,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,6
6,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,7
7,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,8
8,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",9
9,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,10
10,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",11
11,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,12
12,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,13
13,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",14
14,0.0,Tue Sep 11 23:10:53 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,15
15,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,16
16,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,17
17,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,18
18,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,19
19,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,20
20,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,21
21,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,22
22,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,23
23,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",24
24,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,25
25,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",26
26,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,27
27,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,28
28,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",29
29,0.0,Tue Sep 11 23:10:53 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,30
30,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,31
31,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,32
32,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,33
33,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,34
34,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,35
35,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,36
36,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,37
37,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,38
38,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",39
39,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,40
40,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",41
41,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,42
42,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,43
43,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",44
44,0.0,Tue Sep 11 23:10:53 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,45
45,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,46
46,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,47
47,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,48
48,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,49
49,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,50
50,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,51
51,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,52
52,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,53
53,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",54
54,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,55
55,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",56
56,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,57
57,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,58
58,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",59
59,0.0,Tue Sep 11 23:10:53 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,60
60,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,61
61,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,62
62,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,63
63,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,64
64,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,65
65,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,66
66,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,67
67,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,68
68,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",69
69,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,70
70,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",71
71,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,72
72,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,73
73,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",74
74,0.0,Tue Sep 11 23:10:53 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,75
